,seller_id,seller_city_x,seller_state_x,product_id_x,product_category_name_x,seller_city_y,seller_state_y,product_id_y,product_category_name_y,Delivery_time,review_avg,total_orders,total_income
2403,2635,sbc,SP,1,1,sbc,SP,1,1,,3.0,1,730.0
2404,622,cascavael,PR,1,1,cascavael,PR,1,1,6.0,4.0,1,21.99
2405,1898,caxias do sul,RS,7,2,caxias do sul,RS,7,2,10.86,4.43,7,366.5
2406,844,pedro leopoldo,MG,3,1,pedro leopoldo,MG,3,1,14.33,4.67,3,182.70000000000002
2407,314,piracicaba,SP,1,1,piracicaba,SP,1,1,13.0,1.0,1,699.42
2408,2600,atibaia,SP,3,0,atibaia,SP,3,0,6.33,4.33,3,38.67
2409,1918,sao paulo,SP,4,1,sao paulo,SP,4,1,7.0,4.75,4,749.6
2410,2793,aracatuba,SP,8,1,aracatuba,SP,8,1,32.88,3.62,8,237.29999999999998
2411,701,barueri,SP,4,3,barueri,SP,4,3,7.25,4.75,4,599.6
2412,2461,rio claro,SP,2,1,rio claro,SP,2,1,20.0,3.0,2,234.0
2413,637,sao caetano do sul,SP,2,1,sao caetano do sul,SP,2,1,15.0,3.0,2,299.8
2414,1861,macae,RJ,1,1,macae,RJ,1,1,10.0,4.0,1,21.6
2415,669,rio de janeiro,RN,2,1,rio de janeiro,RN,2,1,5.0,5.0,2,52.0
2416,809,barro alto,BA,1,1,barro alto,BA,1,1,25.0,5.0,1,23.9
2417,67,sao paulo,SP,2,2,sao paulo,SP,2,2,4.5,5.0,2,74.99000000000001
2418,297,sao paulo,SP,2,1,sao paulo,SP,2,1,,1.0,2,380.0
2419,1815,sao paulo,SP,1,1,sao paulo,SP,1,1,21.0,1.0,1,146.99
2420,1380,sete lagoas,MG,5,1,sete lagoas,MG,5,1,17.8,4.6,5,1588.3
2421,613,joinville,SC,10,3,joinville,SC,10,3,9.3,4.6,10,165.0
2422,1391,sao paulo / sao paulo,SP,17,2,sao paulo / sao paulo,SP,17,2,8.35,4.53,17,1018.3
2423,2305,rio de janeiro,RJ,12,3,rio de janeiro,RJ,12,3,11.33,3.08,12,922.8000000000001
2424,1206,sao paulo,SP,3,1,sao paulo,SP,3,1,17.0,3.0,3,105.15
2425,2374,fortaleza,CE,12,2,fortaleza,CE,12,2,21.33,4.0,12,959.2
2426,2534,curitiba,PR,1,1,curitiba,PR,1,1,34.0,4.0,1,119.9
2427,2971,rio de janeiro,RJ,3,1,rio de janeiro,RJ,3,1,28.0,3.67,3,1059.9
2428,448,jaci,SP,1,1,jaci,SP,1,1,8.0,5.0,1,495.0
2429,1019,indaiatuba,SP,10,1,indaiatuba,SP,10,1,6.6,5.0,10,1662.15
2430,1967,sao jose do rio preto,SP,2,1,sao jose do rio preto,SP,2,1,,1.0,2,798.0
2431,949,embu das artes,SP,2,1,embu das artes,SP,2,1,7.5,4.5,2,1282.0
2432,1661,bom jesus dos perdoes,SP,2,1,bom jesus dos perdoes,SP,2,1,,1.0,2,141.8
2433,2041,ponta grossa,PR,3,1,ponta grossa,PR,3,1,9.33,4.33,3,74.69999999999999
2434,2489,birigui,SP,1,1,birigui,SP,1,1,9.0,5.0,1,79.9
2435,1777,maringa,PR,1,1,maringa,PR,1,1,12.0,5.0,1,49.9
2436,760,curitiba,PR,1,1,curitiba,PR,1,1,6.0,4.0,1,209.0
2437,2072,sao paulo,SP,1,1,sao paulo,SP,1,1,,1.0,1,110.25
2438,731,fortaleza,CE,1,1,fortaleza,CE,1,1,53.0,1.0,1,59.47
2439,1194,serra,ES,3,3,serra,ES,3,3,,1.0,3,154.97
2440,2121,cascavel,PR,2,1,cascavel,PR,2,1,15.5,4.5,2,560.0
2441,2285,lencois paulista,SP,5,2,lencois paulista,SP,5,2,12.0,3.8,5,259.5
2442,615,condor,RS,1,1,condor,RS,1,1,7.0,4.0,1,24.9
2443,318,sao paulo,SP,11,1,sao paulo,SP,11,1,15.82,4.36,11,2636.74
